case_id	case_tree	num_mutations
window1:107_94_53_1	(Sample2:0.00000,(Sample3:4.00000,Sample4:13.00000):18.00000,Sample1:0.00000);	30
window1:107_97_20_4	(Sample2:0.00000,(Sample3:6.00000,Sample4:15.00000):13.00000,Sample1:4.00000);	31
window1:107_95_55_85	(Sample2:2.00000,(Sample3:13.00000,Sample4:10.00000):15.00000,Sample1:3.00000);	36
window1:107_91_3_47	(Sample2:1.00000,(Sample3:10.00000,Sample4:3.00000):8.00000,Sample1:9.00000);	25
window1:107_96_54_63	(Sample2:1.00000,(Sample3:9.00000,Sample4:3.00000):14.00000,Sample1:0.00000);	23
window1:107_91_46_45	(Sample2:4.00000,(Sample3:3.00000,Sample4:12.00000):9.00000,Sample1:6.00000);	27
window1:107_91_55_90	(Sample2:2.00000,(Sample3:14.00000,Sample4:8.00000):8.00000,Sample1:8.00000);	32
window1:107_95_80_14	(Sample2:3.50000,(Sample3:6.50000,Sample4:15.50000):8.50000,Sample1:1.50000);	28
window1:107_92_21_26	(Sample2:0.00000,(Sample3:2.00000,Sample4:14.00000):16.00000,Sample1:0.00000);	28
window1:107_94_46_7	(Sample2:0.00000,(Sample3:4.00000,Sample4:16.00000):12.00000,Sample1:0.00000);	27
window1:107_97_22_61	(Sample2:2.50000,(Sample3:6.50000,Sample4:10.50000):12.50000,Sample1:1.50000);	28
window1:107_98_18_23	(Sample2:3.00000,(Sample3:5.00000,Sample4:11.00000):21.00000,Sample1:2.00000);	36
window1:107_98_36_59	(Sample2:2.50000,(Sample3:18.50000,Sample4:1.50000):9.50000,Sample1:2.50000);	28
window1:107_95_5_85	(Sample2:2.00000,(Sample3:8.00000,Sample4:3.00000):22.00000,Sample1:3.00000);	34
window1:107_91_80_66	(Sample3:11.50000,(Sample2:3.50000,Sample4:8.50000):2.50000,Sample1:5.50000);	24
window1:107_92_5_86	(Sample2:0.00000,(Sample3:21.00000,Sample4:6.00000):13.00000,Sample1:0.00000);	33
window1:107_92_15_48	(Sample2:0.00000,(Sample3:5.00000,Sample4:18.00000):16.00000,Sample1:0.00000);	33
window1:107_93_60_58	(Sample2:0.00000,(Sample3:12.00000,Sample4:9.00000):9.00000,Sample1:0.00000);	24
window1:107_94_21_19	(Sample2:0.00000,(Sample3:6.00000,Sample4:11.00000):12.00000,Sample1:0.00000);	24
window1:107_96_3_78	(Sample2:0.50000,(Sample3:4.50000,Sample4:2.50000):22.50000,Sample1:0.50000);	28
window1:107_98_5_62	(Sample2:3.00000,(Sample3:18.00000,Sample4:3.00000):16.00000,Sample1:2.00000);	35
window1:107_91_35_71	(Sample2:2.00000,(Sample3:13.00000,Sample4:9.00000):7.00000,Sample1:8.00000);	31
window1:107_95_3_62	(Sample2:2.50000,(Sample3:11.50000,Sample4:4.50000):14.50000,Sample1:2.50000);	30
window1:107_97_70_63	(Sample2:4.00000,(Sample3:9.00000,Sample4:2.00000):15.00000,Sample1:0.00000);	26
window1:107_97_60_14	(Sample2:3.00000,(Sample3:7.00000,Sample4:13.00000):12.00000,Sample1:1.00000);	30
window1:107_95_22_72	(Sample2:3.00000,(Sample3:8.00000,Sample4:8.00000):10.00000,Sample1:2.00000);	25
window1:107_94_16_61	(Sample2:0.00000,(Sample3:11.00000,Sample4:4.00000):19.00000,Sample1:0.00000);	30
window1:107_95_3_17	(Sample2:2.00000,(Sample3:15.00000,Sample4:12.00000):11.00000,Sample1:3.00000);	35
window1:107_92_53_57	(Sample2:0.00000,(Sample3:6.00000,Sample4:8.00000):16.00000,Sample1:0.00000);	26
window1:107_92_80_4	(Sample2:0.00000,(Sample3:3.00000,Sample4:18.00000):14.00000,Sample1:0.00000);	29
window1:107_91_38_85	(Sample2:2.00000,(Sample3:11.00000,Sample4:16.00000):5.00000,Sample1:8.00000);	32
window1:107_92_43_85	(Sample2:0.00000,(Sample3:11.00000,Sample4:14.00000):13.00000,Sample1:0.00000);	31
window1:107_94_13_7	(Sample2:0.00000,(Sample3:8.00000,Sample4:10.00000):18.00000,Sample1:0.00000);	31
window1:107_96_35_90	(Sample2:1.00000,(Sample3:13.00000,Sample4:5.00000):17.00000,Sample1:0.00000);	31
window1:107_95_18_59	(Sample2:2.00000,(Sample3:17.00000,Sample4:1.00000):9.00000,Sample1:3.00000);	26
window1:107_92_22_61	(Sample2:0.00000,(Sample3:8.00000,Sample4:9.00000):14.00000,Sample1:0.00000);	26
window1:107_92_70_63	(Sample2:0.00000,(Sample3:9.00000,Sample4:2.00000):15.00000,Sample1:0.00000);	23
window1:107_98_80_77	(Sample2:2.50000,(Sample3:4.50000,Sample4:17.50000):10.50000,Sample1:2.50000);	30
window1:107_95_53_72	(Sample2:3.50000,(Sample3:8.50000,Sample4:7.50000):10.50000,Sample1:1.50000);	26
window1:107_94_20_57	(Sample2:0.00000,(Sample3:13.00000,Sample4:14.00000):10.00000,Sample1:0.00000);	30
